A,B,AB,外地初领
A,C,AC,转入换证
A,D,AD,军警换证
A,E,AE,外籍换证
A,F,AF,香港换证
A,G,AG,澳门换证
A,H,AH,台湾换证
A,I,AI,使领馆
A,J,AJ,农机
C,9,C9,驾驶人补换证
C,A,CA,期满
C,AB,CAB,期满、转入换证
C,AC,CAC,期满超龄换证
C,ACDE,CACDE,期满、超龄、自愿降级、变更
C,ACDEH,CACDEH,期满、超龄、自愿降级、变更、提交身体证明
C,ACE,CACE,期满超龄 自愿降级换证
C,ACEH,CACEH,期满、超龄、变更、提交身体证明
C,ACH,CACH,期满、超龄、提交身体证明
C,AD,CAD,期满自愿降级换证
C,ADC,CADC,期满、自愿降级、超龄
C,ADCH,CADCH,期满、自愿降级、超龄、提交身体证明
C,ADE,CADE,期满自愿降级变更换证
C,ADECH,CADECH,期满、自愿降级、变更、超龄、提交身体证明
C,ADEF,CADEF,期满、自愿降级、变更、遗失换证
C,ADEFH,CADEFH,期满、自愿降级、变更、遗失换证、提交身体证明
C,ADEH,CADEH,期满、自愿降级、变更、提交身体证明
C,ADH,CADH,期满、自愿降级、提交身体证明
C,AE,CAE,期满变更换证
C,AEC,CAEC,期满、变更、超龄
C,AECH,CAECH,期满、变更、超龄、提交身体证明
C,AEF,CAEF,期满、变更、遗失换证
C,AEFH,CAEFH,期满、变更、遗失、提交身体证明
C,AEG,CAEG,换证（期满、损坏、变更）
C,AEH,CAEH,期满、变更、提交身体证明
C,AG,CAG,期满、损坏换证
C,AGH,CAGH,期满、损坏换证、提交体检证明
C,AH,CAH,期满、提交身体证明
C,B,CB,转入
C,BH,CBH,转入、提交身体证明
C,C,CC,超龄
C,CD,CCD,超龄、自愿降级
C,CDEH,CCDEH,超龄、自愿降级、变更、提交体检证明
C,CE,CCE,超龄变更换证
C,CEH,CCEH,超龄、变更、提交身体证明
C,CF,CCF,超龄遗失换证
C,CH,CCH,超龄、提交身体证明
C,D,CD,自愿降级
C,DA,CDA,自愿降级、期满
C,DAH,CDAH,自愿降级、期满、提交身体证明
C,DC,CDC,自愿降级、超龄
C,DCH,CDCH,自愿降级、超龄、提交身体证明
C,DE,CDE,自愿降级变更换证
C,DEAH,CDEAH,自愿降级、变更、期满、提交身体证明
C,DEC,CDEC,自愿降级、变更、超龄
C,DEF,CDEF,自愿降级、变更、遗失换证
C,DEH,CDEH,自愿降级、变更、提交身体证明
C,DF,CDF,自愿降级遗失换证
C,DH,CDH,自愿降级、提交身体证明
C,E,CE,换证期满
C,EA,CEA,变更、期满换证
C,EACH,CEACH,变更、期满、超龄、提交身体证明
C,EAH,CEAH,变更、期满、提交身体证明
C,EC,CEC,变更、超龄
C,EF,CEF,遗失变更换证
C,EFA,CEFA,变更、遗失、期满换证
C,EFAH,CEFAH,变更、遗失、期满、提交身体证明
C,EFH,CEFH,变更、遗失、提交身体证明
C,EG,CEG,损坏变更换证
C,EH,CEH,变更、提交身体证明
C,F,CF,遗失换证
C,FA,CFA,遗失、期满换证
C,FAH,CFAH,遗失、期满、提交身体证明
C,FC,CFC,遗失、超龄换证
C,FCH,CFCH,遗失、超龄、提交身体证明
C,FH,CFH,遗失、提交身体证明
C,G,CG,损坏换证
C,GH,CGH,损坏、提交身体证明
C,HD,CHD,提交身体证明、自愿降级
C,HDE,CHDE,提交身体证明、自愿降级、变更
C,HE,CHE,提交身体证明、变更
C,HEF,CHEF,提交身体证明、变更、遗失
C,HF,CHF,提交身体证明、遗失换证
C,HFA,CHFA,提交身体证明、遗失、期满换证
F,A,FA,满分学习
F,B,FB,遗失、转入换证
U,0,U000000,驾证恢复
U,10000,U010000,驾证恢复（考科目一）
W,A,WA,申请校车资格换驾驶证
X,A,XA,取消校车资格
Y,A,YA,注销准驾车型
C,BF,CBF,转入、遗失
C,ABF,CABF,期满、转入、遗失
C,AF,CAF,期满、遗失
C,ABI,CABI,期满、转入、审查
C,CDE,CCDE,补证换证超龄自愿降级变更
C,ABFI,CABFI,期满、转入、遗失
